form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834077,SB.508,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,361.35,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.509,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,119.88,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.518,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,354.99,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.519,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,199.27,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.532,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,225.09,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.533,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,188.53,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.547,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,321.30,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.553,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,761.28,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.573,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,353.64,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.596,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,271.61,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.597,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,213.79,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
SB21B,C00834077,SB.612,,SB21B,ORG,EZCATER,,,,,,40 WATER STREET,,BOSTON,MA,02109,,,2024-01-02,262.00,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,X,SB.45
